I1221 21:31:29.792508       1 generic_scheduler.go:822] green-k8s-test-65bb774986-p2fpf_default -> ip-172-20-58-134.ec2.internal: http://localhost:80, Score: (10)
I1221 21:31:29.792604       1 generic_scheduler.go:822] green-k8s-test-65bb774986-p2fpf_default -> ip-172-20-45-201.ec2.internal: http://localhost:80, Score: (0)
I1221 21:31:29.792670       1 generic_scheduler.go:838] Host ip-172-20-49-41.ec2.internal => Score 26
I1221 21:31:29.792701       1 generic_scheduler.go:838] Host ip-172-20-61-178.ec2.internal => Score 28
I1221 21:31:29.792707       1 generic_scheduler.go:838] Host ip-172-20-58-134.ec2.internal => Score 36
I1221 21:31:29.792712       1 generic_scheduler.go:838] Host ip-172-20-45-201.ec2.internal => Score 26
I1221 21:31:29.792764       1 scheduler_binder.go:256] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-p2fpf", node "ip-172-20-58-134.ec2.internal"
I1221 21:31:29.792831       1 scheduler_binder.go:266] AssumePodVolumes for pod "default/green-k8s-test-65bb774986-p2fpf", node "ip-172-20-58-134.ec2.internal": all PVCs bound and nothing to do
I1221 21:31:29.792934       1 factory.go:610] Attempting to bind green-k8s-test-65bb774986-p2fpf to ip-172-20-58-134.ec2.internal
I1221 21:31:29.793510       1 request.go:966] Request Body:

I1221 21:43:29.620668       1 leaderelection.go:282] successfully renewed lease kube-system/green-k8s-scheduler
I1221 21:43:30.609838       1 scheduling_queue.go:830] About to try and schedule pod default/green-k8s-test-65bb774986-fh44g
I1221 21:43:30.609866       1 scheduler.go:530] Attempting to schedule pod: default/green-k8s-test-65bb774986-fh44g
I1221 21:43:30.610112       1 metadata.go:238] Precompute: PredicateWithExtendedResourceOptions
I1221 21:43:30.610235       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-fh44g on Node ip-172-20-49-41.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 21:43:30.610265       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-fh44g on Node ip-172-20-61-178.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 21:43:30.610362       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-fh44g on Node ip-172-20-40-148.ec2.internal is allowed, Node is running only 9 out of 110 Pods.
I1221 21:43:30.610384       1 generic_scheduler.go:667] since alwaysCheckAllPredicates has not been set, the predicate evaluation is short circuited and there are chances of other predicates failing as well.
I1221 21:43:30.610472       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-fh44g on Node ip-172-20-58-134.ec2.internal is allowed, Node is running only 3 out of 110 Pods.
I1221 21:43:30.610496       1 predicates.go:908] Schedule Pod default/green-k8s-test-65bb774986-fh44g on Node ip-172-20-45-201.ec2.internal is allowed, Node is running only 2 out of 110 Pods.
I1221 21:43:30.610707       1 resource_allocation.go:84] green-k8s-test-65bb774986-fh44g -> ip-172-20-49-41.ec2.internal: BalancedResourceAllocation, map of allocatable resources map[cpu:1000 memory:1966559232], map of requested resources map[cpu:350 memory:629145600] ,score 9,
